备注,任务id,任务名称,接任务npcid,交任务npcid,任务完整描述,任务主分类,任务推荐等级,等级限制,任务图标,任务排序,章节ID,是否自动打开窗口,不可接任务对话ID,接任务对话id,已接任务对话id,交任务对话id,任务类型,完成条件key,完成条件count,数值1,数值2,数值3,前置任务id,后续任务id,任务是否可以放弃,不可接任务跟踪文本,任务跟踪可接文本,任务跟踪进行中文本,任务跟踪可交文本,完成任务广播频道,完成任务系统消息ID,奖励铜钱,奖励灵力,奖励威望,奖励经验,奖励物品通用,奖励物品职业1,奖励物品职业2,奖励物品职业3,奖励物品职业4,奖励任务ID,任务是否关闭,开启章节效果ID,自动寻路
4008,204004,力敌虎精,600201,600201,通关{2#4008●力敌虎精}二次。,2,43,43,,,4,,,459,460,461,1,4008,2,,,,4009~204003,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#4008●力敌虎精}二次,完成任务，去找{1#600201●唐三藏}吧,,,16368,6547,,7440,,,,,,,,,1
5002,205001,取回袈裟,600202,600202,通关{2#5002●取回袈裟}三次。,2,44,44,,,5,,,459,460,461,1,5002,3,,,,5005~204004,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#5002●取回袈裟}三次,完成任务，去找{1#600202●孙悟空}吧,,,16632,6653,,7560,,,,,,,,,1
5003,205002,翻查佛寺,600201,600201,通关{2#5003●翻查佛寺}三次。,2,45,45,,,5,,,459,460,461,1,5003,3,,,,5006~205001,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#5003●翻查佛寺}三次,完成任务，去找{1#600201●唐三藏}吧,,,16896,6758,,7680,,,,,,,,,1
5004,205003,循迹追踪,600202,600202,通关{2#5004●循迹追踪}三次。,2,45,45,,,5,,,459,460,461,1,5004,3,,,,5007~205002,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#5004●循迹追踪}三次,完成任务，去找{1#600202●孙悟空}吧,,,16896,6758,,7680,,,,,,,,,1
5005,205004,追索袈裟,600201,600201,通关{2#5005●追索袈裟}三次。,2,46,46,,,5,,,459,460,461,1,5005,3,,,,5009~205003,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#5005●追索袈裟}三次,完成任务，去找{1#600201●唐三藏}吧,,,17160,6864,,7800,,,,,,,,,1
5006,205005,作势佯攻,600202,600202,通关{2#5006●作势佯攻}三次。,2,46,46,,,5,,,459,460,461,1,5006,3,,,,5010~205004,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#5006●作势佯攻}三次,完成任务，去找{1#600202●孙悟空}吧,,,17160,6864,,7800,,,,,,,,,1
5007,205006,御前先锋,600201,600201,通关{2#5007●御前先锋}三次。,2,47,47,,,5,,,459,460,461,1,5007,3,,,,5011~205005,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#5007●御前先锋}三次,完成任务，去找{1#600201●唐三藏}吧,,,17424,6970,,7920,,,,,,,,,1
5008,205007,智斗熊精,600202,600202,通关{2#5008●智斗熊精}三次。,2,47,47,,,5,,,459,460,461,1,5008,3,,,,5012~205006,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#5008●智斗熊精}三次,完成任务，去找{1#600202●孙悟空}吧,,,17424,6970,,7920,,,,,,,,,1
6001,206001,荒野山庄,600201,600201,通关{2#6001●荒野山庄}四次。,2,48,48,,,6,,,459,460,461,1,6001,4,,,,6001~205007,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#6001●荒野山庄}四次,完成任务，去找{1#600201●唐三藏}吧,,,17688,7075,,8040,,,,,,,,,1
6002,206002,黑雾深处,600202,600202,通关{2#6002●黑雾深处}四次。,2,48,48,,,6,,,459,460,461,1,6002,4,,,,6002~206001,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#6002●黑雾深处}四次,完成任务，去找{1#600202●孙悟空}吧,,,17688,7075,,8040,,,,,,,,,1
6003,206003,险洞寻妖,600201,600201,通关{2#6003●险洞寻妖}四次。,2,49,49,,,6,,,459,460,461,1,6003,4,,,,6003~206002,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#6003●险洞寻妖}四次,完成任务，去找{1#600201●唐三藏}吧,,,17952,7181,,8160,,,,,,,,,1
6004,206004,幽暗所在,600202,600202,通关{2#6004●幽暗所在}四次。,2,49,49,,,6,,,459,460,461,1,6004,4,,,,6004~206003,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#6004●幽暗所在}四次,完成任务，去找{1#600202●孙悟空}吧,,,17952,7181,,8160,,,,,,,,,1
6005,206005,铁叉蝠王,600201,600201,通关{2#6005●铁叉蝠王}四次。,2,50,50,,,6,,,459,460,461,1,6005,4,,,,6005~206004,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#6005●铁叉蝠王}四次,完成任务，去找{1#600201●唐三藏}吧,,,18216,7286,,8280,,,,,,,,,1
6006,206006,回护山庄,600202,600202,通关{2#6006●回护山庄}四次。,2,50,50,,,6,,,459,460,461,1,6006,4,,,,6006~206005,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#6006●回护山庄}四次,完成任务，去找{1#600202●孙悟空}吧,,,18216,7286,,8280,,,,,,,,,1
6007,206007,驱赶猪魔,600201,600201,通关{2#6007●驱赶猪魔}四次。,2,51,51,,,6,,,459,460,461,1,6007,4,,,,6007,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#6007●驱赶猪魔}四次,完成任务，去找{1#600201●唐三藏}吧,,,18480,7392,,8400,,,,,,,,,1
6008,206008,大闹妖窟,600202,600202,通关{2#6008●大闹妖窟}四次。,2,51,51,,,6,,,459,460,461,1,6008,4,,,,6008,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#6008●大闹妖窟}四次,完成任务，去找{1#600202●孙悟空}吧,,,18480,7392,,8400,,,,,,,,,1
6009,206009,负隅而抗,600201,600201,通关{2#6009●负隅而抗}四次。,2,52,52,,,6,,,459,460,461,1,6009,4,,,,6009,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#6009●负隅而抗}四次,完成任务，去找{1#600201●唐三藏}吧,,,18744,7498,,8520,,,,,,,,,1
6009,206010,负隅而抗【二】,600202,600202,通关{2#6009●负隅而抗}四次。,2,52,52,,,6,,,459,460,461,1,6009,4,,,,6010,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#6009●负隅而抗}四次,完成任务，去找{1#600202●孙悟空}吧,,,18744,7498,,8520,,,,,,,1,,1
6010,206011,乌合之妖,600201,600201,通关{2#6010●乌合之众}四次。,2,52,52,,,6,,,459,460,461,1,6010,4,,,,6010,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#6010●乌合之众}四次,完成任务，去找{1#600201●唐三藏}吧,,,18744,7498,,8520,,,,,,,,,1
6011,206012,四散而逃,600202,600202,通关{2#6011●四散而逃}四次。,2,53,53,,,6,,,459,460,461,1,6011,4,,,,6011,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#6011●四散而逃}四次,完成任务，去找{1#600202●孙悟空}吧,,,19008,7603,,8640,,,,,,,,,1
6011,206013,四散而逃【二】,600201,600201,通关{2#6011●四散而逃}四次。,2,53,53,,,6,,,459,460,461,1,6011,4,,,,6012,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#6011●四散而逃}四次,完成任务，去找{1#600201●唐三藏}吧,,,19008,7603,,8640,,,,,,,1,,1
6012,206014,降服猪妖,600202,600202,通关{2#6012●降服猪妖}四次。,2,53,53,,,6,,,459,460,461,1,6012,4,,,,6012,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#6012●降服猪妖}四次,完成任务，去找{1#600202●孙悟空}吧,,,19008,7603,,8640,,,,,,,,,1
7001,207001,险峻山下,600201,600201,通关{2#7001●险峻山下}五次。,2,54,54,,,7,,,459,460,461,1,7001,5,,,,7002,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#7001●险峻山下}五次,完成任务，去找{1#600201●唐三藏}吧,,,19272,7709,,8760,,,,,,,,,1
7001,207002,险峻山下【二】,600202,600202,通关{2#7001●险峻山下}五次。,2,54,54,,,7,,,459,460,461,1,7001,5,,,,7003,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#7001●险峻山下}五次,完成任务，去找{1#600202●孙悟空}吧,,,19272,7709,,8760,,,,,,,1,,1
7002,207003,奇山妖风,600201,600201,通关{2#7002●奇山妖风}五次。,2,54,54,,,7,,,459,460,461,1,7002,5,,,,7003,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#7002●奇山妖风}五次,完成任务，去找{1#600201●唐三藏}吧,,,19272,7709,,8760,,,,,,,,,1
7003,207004,威威虎息,600202,600202,通关{2#7003●威威虎息}五次。,2,55,55,,,7,,,459,460,461,1,7003,5,,,,7004,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#7003●威威虎息}五次,完成任务，去找{1#600202●孙悟空}吧,,,19536,7814,,8880,,,,,,,,,1
7003,207005,威威虎息【二】,600201,600201,通关{2#7003●威威虎息}五次。,2,55,55,,,7,,,459,460,461,1,7003,5,,,,7005,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#7003●威威虎息}五次,完成任务，去找{1#600201●唐三藏}吧,,,19536,7814,,8880,,,,,,,1,,1
7004,207006,风中寻影,600202,600202,通关{2#7004●风中寻影}五次。,2,55,55,,,7,,,459,460,461,1,7004,5,,,,7005,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#7004●风中寻影}五次,完成任务，去找{1#600202●孙悟空}吧,,,19536,7814,,8880,,,,,,,,,1
7005,207007,妖门叫阵,600203,600203,通关{2#7005●妖门叫阵}五次。,2,56,56,,,7,,,459,460,461,1,7005,5,,,,7006,,1,,去找{1#600203●猪八戒}接受任务吧 ,通关{2#7005●妖门叫阵}五次,完成任务，去找{1#600203●猪八戒}吧,,,19800,7920,,9000,,,,,,,,,1
7005,207008,妖门叫阵【二】,600201,600201,通关{2#7005●妖门叫阵}五次。,2,56,56,,,7,,,459,460,461,1,7005,5,,,,7007,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#7005●妖门叫阵}五次,完成任务，去找{1#600201●唐三藏}吧,,,19800,7920,,9000,,,,,,,1,,1
7006,207009,掠杀之虎,600202,600202,通关{2#7006●掠杀之虎}五次。,2,56,56,,,7,,,459,460,461,1,7006,5,,,,7007,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#7006●掠杀之虎}五次,完成任务，去找{1#600202●孙悟空}吧,,,19800,7920,,9000,,,,,,,,,1
7007,207010,黄沙掩目,600203,600203,通关{2#7007●黄沙掩目}五次。,2,57,57,,,7,,,459,460,461,1,7007,5,,,,7008,,1,,去找{1#600203●猪八戒}接受任务吧 ,通关{2#7007●黄沙掩目}五次,完成任务，去找{1#600203●猪八戒}吧,,,20064,8026,,9120,,,,,,,,,1
7007,207011,黄沙掩目【二】,600201,600201,通关{2#7007●黄沙掩目}五次。,2,57,57,,,7,,,459,460,461,1,7007,5,,,,7010,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#7007●黄沙掩目}五次,完成任务，去找{1#600201●唐三藏}吧,,,20064,8026,,9120,,,,,,,1,,1
7008,207012,降服风怪,600202,600202,通关{2#7008●降服风怪}五次。,2,57,57,,,7,,,459,460,461,1,7008,5,,,,7010,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#7008●降服风怪}五次,完成任务，去找{1#600202●孙悟空}吧,,,20064,8026,,9120,,,,,,,,,1
7008,208001,降服风怪【二】,600203,600203,通关{2#7008●降服风怪}六次。,2,57,58,,,8,,,459,460,461,1,7008,6,,,,8002,,1,,去找{1#600203●猪八戒}接受任务吧 ,通关{2#7008●降服风怪}六次,完成任务，去找{1#600203●猪八戒}吧,,,20328,8131,,9240,,,,,,,1,,1
8001,208002,恶水拦道,600201,600201,通关{2#8001●恶水拦道}六次。,2,58,58,,,8,,,459,460,461,1,8001,6,,,,8002,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#8001●恶水拦道}六次,完成任务，去找{1#600201●唐三藏}吧,,,20328,8131,,9240,,,,,,,,,1
8001,208003,恶水拦道【二】,600202,600202,通关{2#8001●恶水拦道}六次。,2,58,58,,,8,,,459,460,461,1,8001,6,,,,8003,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#8001●恶水拦道}六次,完成任务，去找{1#600202●孙悟空}吧,,,20328,8131,,9240,,,,,,,1,,1
8002,208004,寻妖渡河,600203,600203,通关{2#8002●寻妖渡河}六次。,2,58,58,,,8,,,459,460,461,1,8002,6,,,,8003,,1,,去找{1#600203●猪八戒}接受任务吧 ,通关{2#8002●寻妖渡河}六次,完成任务，去找{1#600203●猪八戒}吧,,,20328,8131,,9240,,,,,,,,,1
8002,208005,寻妖渡河【二】,600201,600201,通关{2#8002●寻妖渡河}六次。,2,58,59,,,8,,,459,460,461,1,8002,6,,,,8004,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#8002●寻妖渡河}六次,完成任务，去找{1#600201●唐三藏}吧,,,20592,8237,,9360,,,,,,,1,,1
8003,208006,矮脚鱼精,600202,600202,通关{2#8003●矮脚鱼精}六次。,2,59,59,,,8,,,459,460,461,1,8003,6,,,,8004,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#8003●矮脚鱼精}六次,完成任务，去找{1#600202●孙悟空}吧,,,20592,8237,,9360,,,,,,,,,1
8003,208007,矮脚鱼精【二】,600203,600203,通关{2#8003●矮脚鱼精}六次。,2,59,59,,,8,,,459,460,461,1,8003,6,,,,8005,,1,,去找{1#600203●猪八戒}接受任务吧 ,通关{2#8003●矮脚鱼精}六次,完成任务，去找{1#600203●猪八戒}吧,,,20592,8237,,9360,,,,,,,1,,1
8004,208008,浑波涌浪,600201,600201,通关{2#8004●浑波涌浪}六次。,2,59,59,,,8,,,459,460,461,1,8004,6,,,,8005,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#8004●浑波涌浪}六次,完成任务，去找{1#600201●唐三藏}吧,,,20592,8237,,9360,,,,,,,,,1
8004,208009,浑波涌浪【二】,600202,600202,通关{2#8004●浑波涌浪}六次。,2,59,60,,,8,,,459,460,461,1,8004,6,,,,8006,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#8004●浑波涌浪}六次,完成任务，去找{1#600202●孙悟空}吧,,,20856,8342,,9480,,,,,,,1,,1
8005,208010,搅乱河府,600203,600203,通关{2#8005●搅乱河府}六次。,2,60,60,,,8,,,459,460,461,1,8005,6,,,,8006,,1,,去找{1#600203●猪八戒}接受任务吧 ,通关{2#8005●搅乱河府}六次,完成任务，去找{1#600203●猪八戒}吧,,,20856,8342,,9480,,,,,,,,,1
8005,208011,搅乱河府【二】,600201,600201,通关{2#8005●搅乱河府}六次。,2,60,60,,,8,,,459,460,461,1,8005,6,,,,8007,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#8005●搅乱河府}六次,完成任务，去找{1#600201●唐三藏}吧,,,20856,8342,,9480,,,,,,,1,,1
8006,208012,再诱河妖,600202,600202,通关{2#8006●再诱河妖}六次。,2,60,60,,,8,,,459,460,461,1,8006,6,,,,8007,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#8006●再诱河妖}六次,完成任务，去找{1#600202●孙悟空}吧,,,20856,8342,,9480,,,,,,,,,1
8006,208013,再诱河妖【二】,600203,600203,通关{2#8006●再诱河妖}六次。,2,60,61,,,8,,,459,460,461,1,8006,6,,,,8008,,1,,去找{1#600203●猪八戒}接受任务吧 ,通关{2#8006●再诱河妖}六次,完成任务，去找{1#600203●猪八戒}吧,,,21120,8448,,9600,,,,,,,1,,1
8007,208014,入河寻妖,600201,600201,通关{2#8007●入河寻妖}六次。,2,61,61,,,8,,,459,460,461,1,8007,6,,,,8008,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#8007●入河寻妖}六次,完成任务，去找{1#600201●唐三藏}吧,,,21120,8448,,9600,,,,,,,,,1
8007,208015,入河寻妖【二】,600202,600202,通关{2#8007●入河寻妖}六次。,2,61,61,,,8,,,459,460,461,1,8007,6,,,,8009,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#8007●入河寻妖}六次,完成任务，去找{1#600202●孙悟空}吧,,,21120,8448,,9600,,,,,,,1,,1
8008,208016,自投罗网,600203,600203,通关{2#8008●自投罗网}六次。,2,61,61,,,8,,,459,460,461,1,8008,6,,,,8009,,1,,去找{1#600203●猪八戒}接受任务吧 ,通关{2#8008●自投罗网}六次,完成任务，去找{1#600203●猪八戒}吧,,,21120,8448,,9600,,,,,,,,,1
8008,209001,自投罗网【二】,600201,600201,通关{2#8008●自投罗网}七次。,2,61,62,,,9,,,459,460,461,1,8008,7,,,,9002,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#8008●自投罗网}七次,完成任务，去找{1#600201●唐三藏}吧,,,21384,8554,,9720,,,,,,,1,,1
9001,209002,棍打仙果,600202,600202,通关{2#9001●棍打仙果}七次。,2,62,62,,,9,,,459,460,461,1,9001,7,,,,9002,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#9001●棍打仙果}七次,完成任务，去找{1#600202●孙悟空}吧,,,21384,8554,,9720,,,,,,,,,1
9001,209003,棍打仙果【二】,600203,600203,通关{2#9001●棍打仙果}七次。,2,62,62,,,9,,,459,460,461,1,9001,7,,,,9003,,1,,去找{1#600203●猪八戒}接受任务吧 ,通关{2#9001●棍打仙果}七次,完成任务，去找{1#600203●猪八戒}吧,,,21384,8554,,9720,,,,,,,1,,1
9002,209004,道房取物,600204,600204,通关{2#9002●道房取物}七次。,2,62,62,,,9,,,459,460,461,1,9002,7,,,,9003,,1,,去找{1#600204●沙悟净}接受任务吧 ,通关{2#9002●道房取物}七次,完成任务，去找{1#600204●沙悟净}吧,,,21384,8554,,9720,,,,,,,,,1
9002,209005,道房取物【二】,600201,600201,通关{2#9002●道房取物}七次。,2,62,63,,,9,,,459,460,461,1,9002,7,,,,9005,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#9002●道房取物}七次,完成任务，去找{1#600201●唐三藏}吧,,,21648,8659,,9840,,,,,,,1,,1
9003,209006,妙手取宝,600202,600202,通关{2#9003●妙手取宝}七次。,2,63,63,,,9,,,459,460,461,1,9003,7,,,,9005,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#9003●妙手取宝}七次,完成任务，去找{1#600202●孙悟空}吧,,,21648,8659,,9840,,,,,,,,,1
9003,209007,妙手取宝【二】,600203,600203,通关{2#9003●妙手取宝}七次。,2,63,63,,,9,,,459,460,461,1,9003,7,,,,9007,,1,,去找{1#600203●猪八戒}接受任务吧 ,通关{2#9003●妙手取宝}七次,完成任务，去找{1#600203●猪八戒}吧,,,21648,8659,,9840,,,,,,,1,,1
9004,209008,对峙园中,600204,600204,通关{2#9004●对峙园中}七次。,2,63,63,,,9,,,459,460,461,1,9004,7,,,,9007,,1,,去找{1#600204●沙悟净}接受任务吧 ,通关{2#9004●对峙园中}七次,完成任务，去找{1#600204●沙悟净}吧,,,21648,8659,,9840,,,,,,,,,1
9004,209009,对峙园中【二】,600201,600201,通关{2#9004●对峙园中}七次。,2,63,64,,,9,,,459,460,461,1,9004,7,,,,9008,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#9004●对峙园中}七次,完成任务，去找{1#600201●唐三藏}吧,,,21912,8765,,9960,,,,,,,1,,1
9005,209010,毁树除根,600202,600202,通关{2#9005●毁树除根}七次。,2,64,64,,,9,,,459,460,461,1,9005,7,,,,9008,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#9005●毁树除根}七次,完成任务，去找{1#600202●孙悟空}吧,,,21912,8765,,9960,,,,,,,,,1
9005,209011,毁树除根【二】,600203,600203,通关{2#9005●毁树除根}七次。,2,64,64,,,9,,,459,460,461,1,9005,7,,,,9009,,1,,去找{1#600203●猪八戒}接受任务吧 ,通关{2#9005●毁树除根}七次,完成任务，去找{1#600203●猪八戒}吧,,,21912,8765,,9960,,,,,,,1,,1
9006,209012,斩尽树灵,600204,600204,通关{2#9006●斩尽树灵}七次。,2,64,64,,,9,,,459,460,461,1,9006,7,,,,9009,,1,,去找{1#600204●沙悟净}接受任务吧 ,通关{2#9006●斩尽树灵}七次,完成任务，去找{1#600204●沙悟净}吧,,,21912,8765,,9960,,,,,,,,,1
9006,209013,斩尽树灵【二】,600201,600201,通关{2#9006●斩尽树灵}七次。,2,64,65,,,9,,,459,460,461,1,9006,7,,,,9010,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#9006●斩尽树灵}七次,完成任务，去找{1#600201●唐三藏}吧,,,22176,8870,,10080,,,,,,,1,,1
9007,209014,匆匆而逃,600202,600202,通关{2#9007●匆匆而逃}七次。,2,65,65,,,9,,,459,460,461,1,9007,7,,,,9010,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#9007●匆匆而逃}七次,完成任务，去找{1#600202●孙悟空}吧,,,22176,8870,,10080,,,,,,,,,1
9007,209015,匆匆而逃【二】,600203,600203,通关{2#9007●匆匆而逃}七次。,2,65,65,,,9,,,459,460,461,1,9007,7,,,,9011,,1,,去找{1#600203●猪八戒}接受任务吧 ,通关{2#9007●匆匆而逃}七次,完成任务，去找{1#600203●猪八戒}吧,,,22176,8870,,10080,,,,,,,1,,1
9008,209016,镇元大仙,600204,600204,通关{2#9008●镇元大仙}七次。,2,65,65,,,9,,,459,460,461,1,9008,7,,,,9011,,1,,去找{1#600204●沙悟净}接受任务吧 ,通关{2#9008●镇元大仙}七次,完成任务，去找{1#600204●沙悟净}吧,,,22176,8870,,10080,,,,,,,,,1
9008,210001,镇元大仙【二】,600208,600208,通关{2#9008●镇元大仙}八次。,2,65,66,,,10,,,459,460,461,1,9008,8,,,,10001,,1,,去找{1#600208●土地老儿}接受任务吧 ,通关{2#9008●镇元大仙}八次,完成任务，去找{1#600208●土地老儿}吧,,,22440,8976,,10200,,,,,,,1,,1
10001,210002,森然之地,600201,600201,通关{2#10001●森然之地}八次。,2,66,66,,,10,,,459,460,461,1,10001,8,,,,10001,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#10001●森然之地}八次,完成任务，去找{1#600201●唐三藏}吧,,,22440,8976,,10200,,,,,,,,,1
10001,210003,森然之地【二】,600202,600202,通关{2#10001●森然之地}八次。,2,66,66,,,10,,,459,460,461,1,10001,8,,,,10002,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#10001●森然之地}八次,完成任务，去找{1#600202●孙悟空}吧,,,22440,8976,,10200,,,,,,,1,,1
10002,210004,白骨废庄,600203,600203,通关{2#10002●白骨废庄}八次。,2,66,66,,,10,,,459,460,461,1,10002,8,,,,10002,,1,,去找{1#600203●猪八戒}接受任务吧 ,通关{2#10002●白骨废庄}八次,完成任务，去找{1#600203●猪八戒}吧,,,22440,8976,,10200,,,,,,,,,1
10002,210005,白骨废庄【二】,600204,600204,通关{2#10002●白骨废庄}八次。,2,66,67,,,10,,,459,460,461,1,10002,8,,,,10003,,1,,去找{1#600204●沙悟净}接受任务吧 ,通关{2#10002●白骨废庄}八次,完成任务，去找{1#600204●沙悟净}吧,,,22704,9082,,10320,,,,,,,1,,1
10003,210006,度化魂灵,600208,600208,通关{2#10003●度化魂灵}八次。,2,67,67,,,10,,,459,460,461,1,10003,8,,,,10003,,1,,去找{1#600208●土地老儿}接受任务吧 ,通关{2#10003●度化魂灵}八次,完成任务，去找{1#600208●土地老儿}吧,,,22704,9082,,10320,,,,,,,,,1
10003,210007,度化魂灵【二】,600201,600201,通关{2#10003●度化魂灵}八次。,2,67,67,,,10,,,459,460,461,1,10003,8,,,,10005,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#10003●度化魂灵}八次,完成任务，去找{1#600201●唐三藏}吧,,,22704,9082,,10320,,,,,,,1,,1
10004,210008,破土寻踪,600202,600202,通关{2#10004●破土寻踪}八次。,2,67,67,,,10,,,459,460,461,1,10004,8,,,,10005,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#10004●破土寻踪}八次,完成任务，去找{1#600202●孙悟空}吧,,,22704,9082,,10320,,,,,,,,,1
10004,210009,破土寻踪【二】,600203,600203,通关{2#10004●破土寻踪}八次。,2,67,68,,,10,,,459,460,461,1,10004,8,,,,10006,,1,,去找{1#600203●猪八戒}接受任务吧 ,通关{2#10004●破土寻踪}八次,完成任务，去找{1#600203●猪八戒}吧,,,22968,9187,,10440,,,,,,,1,,1
10005,210010,窃窃哭声,600204,600204,通关{2#10005●窃窃哭声}八次。,2,68,68,,,10,,,459,460,461,1,10005,8,,,,10006,,1,,去找{1#600204●沙悟净}接受任务吧 ,通关{2#10005●窃窃哭声}八次,完成任务，去找{1#600204●沙悟净}吧,,,22968,9187,,10440,,,,,,,,,1
10005,210011,窃窃哭声【二】,600208,600208,通关{2#10005●窃窃哭声}八次。,2,68,68,,,10,,,459,460,461,1,10005,8,,,,10007,,1,,去找{1#600208●土地老儿}接受任务吧 ,通关{2#10005●窃窃哭声}八次,完成任务，去找{1#600208●土地老儿}吧,,,22968,9187,,10440,,,,,,,1,,1
10006,210012,寒境幽深,600201,600201,通关{2#10006●寒境幽深}八次。,2,68,68,,,10,,,459,460,461,1,10006,8,,,,10007,,1,,去找{1#600201●唐三藏}接受任务吧 ,通关{2#10006●寒境幽深}八次,完成任务，去找{1#600201●唐三藏}吧,,,22968,9187,,10440,,,,,,,,,1
10006,210013,寒境幽深【二】,600202,600202,通关{2#10006●寒境幽深}八次。,2,68,69,,,10,,,459,460,461,1,10006,8,,,,10008,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#10006●寒境幽深}八次,完成任务，去找{1#600202●孙悟空}吧,,,23232,9293,,10560,,,,,,,1,,1
10007,210014,鬼影现形,600203,600203,通关{2#10007●鬼影现形}八次。,2,69,69,,,10,,,459,460,461,1,10007,8,,,,10008,,1,,去找{1#600203●猪八戒}接受任务吧 ,通关{2#10007●鬼影现形}八次,完成任务，去找{1#600203●猪八戒}吧,,,23232,9293,,10560,,,,,,,,,1
10007,210015,鬼影现形【二】,600204,600204,通关{2#10007●鬼影现形}八次。,2,69,69,,,10,,,459,460,461,1,10007,8,,,,10010,,1,,去找{1#600204●沙悟净}接受任务吧 ,通关{2#10007●鬼影现形}八次,完成任务，去找{1#600204●沙悟净}吧,,,23232,9293,,10560,,,,,,,1,,1
10008,210016,白骨夫人,600208,600208,通关{2#10008●白骨夫人}八次。,2,69,69,,,10,,,459,460,461,1,10008,8,,,,10010,,1,,去找{1#600208●土地老儿}接受任务吧 ,通关{2#10008●白骨夫人}八次,完成任务，去找{1#600208●土地老儿}吧,,,23232,9293,,10560,,,,,,,,,1
10008,211001,白骨夫人【二】,600202,600202,通关{2#10008●白骨夫人}九次。,2,69,70,,,11,,,459,460,461,1,10008,9,,,,11001,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#10008●白骨夫人}九次,完成任务，去找{1#600202●孙悟空}吧,,,23496,9398,,10680,,,,,,,1,,1
11001,211002,忧心前路,600302,600302,通关{2#11001●忧心前路}九次。,2,70,70,,,11,,,459,460,461,1,11001,9,,,,11001,,1,,去找{1#600302●孙悟空}接受任务吧 ,通关{2#11001●忧心前路}九次,完成任务，去找{1#600302●孙悟空}吧,,,23496,9398,,10680,,,,,,,,,1
11001,211003,忧心前路【二】,600301,600301,通关{2#11001●忧心前路}九次。,2,70,70,,,11,,,459,460,461,1,11001,9,,,,11002,,1,,去找{1#600301●唐三藏}接受任务吧 ,通关{2#11001●忧心前路}九次,完成任务，去找{1#600301●唐三藏}吧,,,23496,9398,,10680,,,,,,,1,,1
